"N. Territorio, Clima y Medio Ambiente"
Climatología
2.3. Precipitación recogida habida por Observatorio y Mes según Característica
;;;Nº de días;Nº de días;Nº de días
;;;Lluvia;Nieve;Granizo
2015;Enero;Retiro;5;1;0
2015;Enero;Barajas;3;1;0
2015;Enero;Cuatro Vientos;3;3;0
2015;Febrero;Retiro;5;0;0
2015;Febrero;Barajas;6;0;0
2015;Febrero;Cuatro Vientos;8;1;0
2015;Marzo;Retiro;7;0;0
2015;Marzo;Barajas;7;0;0
2015;Marzo;Cuatro Vientos;7;0;0
2015;Abril;Retiro;5;0;0
2015;Abril;Barajas;9;0;0
2015;Abril;Cuatro Vientos;9;0;0
2015;Mayo;Retiro;2;0;0
2015;Mayo;Barajas;2;0;0
2015;Mayo;Cuatro Vientos;1;0;0
2015;Junio;Retiro;7;0;0
2015;Junio;Barajas;7;0;0
2015;Junio;Cuatro Vientos;4;0;2
2015;Julio;Retiro;2;0;0
2015;Julio;Barajas;2;0;0
2015;Julio;Cuatro Vientos;2;0;0
2015;Agosto;Retiro;3;0;0
2015;Agosto;Barajas;4;0;0
2015;Agosto;Cuatro Vientos;2;0;1
2015;Septiembre;Retiro;6;0;0
2015;Septiembre;Barajas;6;0;0
2015;Septiembre;Cuatro Vientos;7;0;1
2015;Octubre;Retiro;12;0;0
2015;Octubre;Barajas;11;0;0
2015;Octubre;Cuatro Vientos;12;0;0
2015;Noviembre;Retiro;5;0;0
2015;Noviembre;Barajas;6;0;0
2015;Noviembre;Cuatro Vientos;6;0;0
2015;Diciembre;Retiro;4;0;0
2015;Diciembre;Barajas;5;0;0
2015;Diciembre;Cuatro Vientos;5;0;0
2016;Enero;Retiro;13;0;0
2016;Enero;Barajas;11;0;0
2016;Enero;Cuatro Vientos;14;0;0
2016;Febrero;Retiro;10;0;0
2016;Febrero;Barajas;9;0;0
2016;Febrero;Cuatro Vientos;10;0;0
2016;Marzo;Retiro;12;0;0
2016;Marzo;Barajas;8;1;0
2016;Marzo;Cuatro Vientos;14;0;0
2016;Abril;Retiro;14;0;0
2016;Abril;Barajas;15;0;0
2016;Abril;Cuatro Vientos;14;0;0
2016;Mayo;Retiro;9;0;0
2016;Mayo;Barajas;11;0;0
2016;Mayo;Cuatro Vientos;13;0;0
2016;Junio;Retiro;2;0;0
2016;Junio;Barajas;4;0;0
2016;Junio;Cuatro Vientos;4;0;0
2016;Julio;Retiro;3;0;0
2016;Julio;Barajas;3;0;0
2016;Julio;Cuatro Vientos;6;0;0
2016;Agosto;Retiro;0;0;0
2016;Agosto;Barajas;0;0;0
2016;Agosto;Cuatro Vientos;1;0;0
2016;Septiembre;Retiro;3;0;0
2016;Septiembre;Barajas;1;0;0
2016;Septiembre;Cuatro Vientos;1;0;0
2016;Octubre;Retiro;13;0;0
2016;Octubre;Barajas;0;0;0
2016;Octubre;Cuatro Vientos;13;0;0
2016;Noviembre;Retiro;14;0;0
2016;Noviembre;Barajas;12;1;0
2016;Noviembre;Cuatro Vientos;14;0;0
2016;Diciembre;Retiro;5;0;0
2016;Diciembre;Barajas;5;0;0
2016;Diciembre;Cuatro Vientos;6;0;0
2017;Enero;Retiro;0;0;0
2017;Enero;Barajas;4;0;0
2017;Enero;Cuatro Vientos;6;0;0
2017;Febrero;Retiro;10;0;0
2017;Febrero;Barajas;10;1;0
2017;Febrero;Cuatro Vientos;10;0;0
2017;Marzo;Retiro;6;1;0
2017;Marzo;Barajas;4;2;0
2017;Marzo;Cuatro Vientos;7;2;0
2017;Abril;Retiro;6;0;0
2017;Abril;Barajas;7;0;0
2017;Abril;Cuatro Vientos;6;0;0
2017;Mayo;Retiro;5;0;0
2017;Mayo;Barajas;8;0;0
2017;Mayo;Cuatro Vientos;7;0;0
2017;Junio;Retiro;6;0;0
2017;Junio;Barajas;5;0;0
2017;Junio;Cuatro Vientos;6;0;0
2017;Julio;Retiro;4;0;0
2017;Julio;Barajas;3;0;1
2017;Julio;Cuatro Vientos;4;0;0
2017;Agosto;Retiro;3;0;0
2017;Agosto;Barajas;2;0;1
2017;Agosto;Cuatro Vientos;4;0;0
2017;Septiembre;Retiro;0;0;0
