water,trees,grass,flooded_vegetation,crops,shrub_and_scrub,built,bare,snow_and_ice,endDate,startDate
138727,2857014,123269,8791,7431015,7165074,9387280,6694827,1190,2015-09-30,2015-07-01
173309,6585666,1726955,16447,8346828,4534545,10368312,2005396,49729,2015-12-31,2015-10-01
190353,6737178,2541609,24704,8446966,4241140,10200960,1344565,79639,2016-03-31,2016-01-01
180386,4037643,405682,12868,10300765,6585109,9814928,2467645,2161,2016-06-30,2016-04-01
151585,3380738,87324,8091,8571920,6955383,9542939,5108133,1074,2016-09-30,2016-07-01
161051,6468380,970215,9029,8948506,5050542,9974491,2209956,15017,2016-12-31,2016-10-01
196055,6613692,2887841,10705,9326387,3952586,9773550,1028606,17765,2017-03-31,2017-01-01
160650,3376962,369441,7825,10675349,7170200,9616100,2428303,2357,2017-06-30,2017-04-01
142239,2944199,79685,14547,7742296,6764786,9372081,6745388,1966,2017-09-30,2017-07-01
148772,5200631,255716,15733,8851739,5949401,9881224,3498607,5364,2017-12-31,2017-10-01
167664,6225082,1474258,29926,9449161,4849373,10183709,1401098,26916,2018-03-31,2018-01-01
180899,4807408,650158,15384,10446479,5593354,9830146,2279862,3497,2018-06-30,2018-04-01
162574,4129061,57339,11008,9941804,6565908,9803970,3134479,1044,2018-09-30,2018-07-01
166135,6089857,515213,12352,9015062,5695681,10050648,2258295,3944,2018-12-31,2018-10-01
158739,6369383,1879382,14011,9632053,4492010,10091978,1159056,10575,2019-03-31,2019-01-01
133250,3197064,362959,10981,10776017,7080241,9698668,2544476,3531,2019-06-30,2019-04-01
126859,3397937,59119,13269,8157101,6146752,9506509,6398543,1098,2019-09-30,2019-07-01
172280,7251874,2011312,15349,9638267,3566118,10358346,789177,4464,2019-12-31,2019-10-01
165073,7460136,2272322,7691,9827640,2964911,10344945,756812,7657,2020-03-31,2020-01-01
143487,5301689,359985,12021,10577423,5163443,10015602,2231482,2055,2020-06-30,2020-04-01
131560,3368157,82889,10637,8882380,7002227,9743529,4584512,1296,2020-09-30,2020-07-01
163769,7256600,1651125,16995,8292285,4399887,10358610,1660976,6940,2020-12-31,2020-10-01
186938,7161744,3200359,17055,8997952,3053604,10091125,829341,269069,2021-03-31,2021-01-01
158836,4757255,569156,12552,11233830,5443762,9920784,1708635,2377,2021-06-30,2021-04-01
149797,3054799,114879,14504,9070064,7331959,9811534,4257853,1798,2021-09-30,2021-07-01
149341,6599831,1725585,13825,8148638,5338508,10474008,1349316,8135,2021-12-31,2021-10-01
151075,6788198,2689163,13679,8877225,3905888,10577697,788286,15976,2022-03-31,2022-01-01
133105,5481525,615284,11397,11118147,5123392,9803907,1519771,659,2022-06-30,2022-04-01
122291,3404324,61832,10201,9093539,6620964,9590816,4903053,167,2022-09-30,2022-07-01
136680,5439944,279226,24479,8832072,5644251,9986584,3463220,731,2022-12-31,2022-10-01
160917,6455777,2578566,16917,8779769,4130202,10211361,1455442,18236,2023-03-31,2023-01-01
146643,3982471,535167,10518,10907547,6432698,9916167,1874984,992,2023-06-30,2023-04-01
134210,2857903,64831,7733,8258497,8026711,9943832,4512407,1063,2023-09-30,2023-07-01
220821,9229573,2343618,13971,9662625,1317866,10543594,471035,4084,2023-12-31,2023-10-01
224537,9195828,3142333,20696,8455529,1861763,10531114,372139,3248,2024-03-31,2024-01-01
